GEO,Year,decile,Type,variable,value
Iran,96,4,Expenditure,clothing,3.420498554
Iran,96,5,Expenditure,clothing,3.554623668
Iran,96,6,Expenditure,clothing,3.840286665
Iran,96,7,Expenditure,clothing,4.056150573
Iran,96,8,Expenditure,clothing,4.180911775
Iran,96,9,Expenditure,clothing,4.145027434
Iran,96,10,Expenditure,clothing,3.794549094
Iran,87,1,Expenditure,tobacco & unclassified beverage,1.253980465
Iran,87,2,Expenditure,tobacco & unclassified beverage,1.255616191
Iran,87,3,Expenditure,tobacco & unclassified beverage,1.152488497
Iran,87,4,Expenditure,tobacco & unclassified beverage,1.054278032
Iran,87,5,Expenditure,tobacco & unclassified beverage,0.85627451
Iran,87,6,Expenditure,tobacco & unclassified beverage,0.774188709
Iran,87,7,Expenditure,tobacco & unclassified beverage,0.632832138
Iran,87,8,Expenditure,tobacco & unclassified beverage,0.503076063
Iran,87,9,Expenditure,tobacco & unclassified beverage,0.340124499
Iran,87,10,Expenditure,tobacco & unclassified beverage,0.233495127
Iran,88,1,Expenditure,tobacco & unclassified beverage,1.20494858
Iran,88,2,Expenditure,tobacco & unclassified beverage,1.298744783
Iran,88,3,Expenditure,tobacco & unclassified beverage,1.139489581
Iran,88,4,Expenditure,tobacco & unclassified beverage,0.991201662
Iran,88,5,Expenditure,tobacco & unclassified beverage,0.862833184
Iran,88,6,Expenditure,tobacco & unclassified beverage,0.631036911
Iran,88,7,Expenditure,tobacco & unclassified beverage,0.587117147
Iran,88,8,Expenditure,tobacco & unclassified beverage,0.511014635
Iran,88,9,Expenditure,tobacco & unclassified beverage,0.323780036
Iran,88,10,Expenditure,tobacco & unclassified beverage,0.204618228
Iran,89,1,Expenditure,tobacco & unclassified beverage,1.222475948
Iran,89,2,Expenditure,tobacco & unclassified beverage,1.184097352
Iran,89,3,Expenditure,tobacco & unclassified beverage,1.006044693
Iran,89,4,Expenditure,tobacco & unclassified beverage,0.831424049
Iran,89,5,Expenditure,tobacco & unclassified beverage,0.834415808
Iran,89,6,Expenditure,tobacco & unclassified beverage,0.634548681
Iran,89,7,Expenditure,tobacco & unclassified beverage,0.573129758
Iran,89,8,Expenditure,tobacco & unclassified beverage,0.487167115
Iran,89,9,Expenditure,tobacco & unclassified beverage,0.326126613
Iran,89,10,Expenditure,tobacco & unclassified beverage,0.205097591
Iran,90,1,Expenditure,tobacco & unclassified beverage,0.981051942
Iran,90,2,Expenditure,tobacco & unclassified beverage,1.042501184
Iran,90,3,Expenditure,tobacco & unclassified beverage,0.856266316
Iran,90,4,Expenditure,tobacco & unclassified beverage,0.827190632
Iran,90,5,Expenditure,tobacco & unclassified beverage,0.682110469
Iran,90,6,Expenditure,tobacco & unclassified beverage,0.585106727
Iran,90,7,Expenditure,tobacco & unclassified beverage,0.570352611
Iran,90,8,Expenditure,tobacco & unclassified beverage,0.381728127
Iran,90,9,Expenditure,tobacco & unclassified beverage,0.335157678
Iran,90,10,Expenditure,tobacco & unclassified beverage,0.208293588
Iran,91,1,Expenditure,tobacco & unclassified beverage,1.222640321
Iran,91,2,Expenditure,tobacco & unclassified beverage,1.13319744
Iran,91,3,Expenditure,tobacco & unclassified beverage,0.976089004
Iran,91,4,Expenditure,tobacco & unclassified beverage,0.932116761
Iran,91,5,Expenditure,tobacco & unclassified beverage,0.895474176
Iran,91,6,Expenditure,tobacco & unclassified beverage,0.648850771
Iran,91,7,Expenditure,tobacco & unclassified beverage,0.613965505
Iran,91,8,Expenditure,tobacco & unclassified beverage,0.518569133
Iran,91,9,Expenditure,tobacco & unclassified beverage,0.467511104
Iran,91,10,Expenditure,tobacco & unclassified beverage,0.240182902
Iran,92,1,Expenditure,tobacco & unclassified beverage,1.450390889
Iran,92,2,Expenditure,tobacco & unclassified beverage,1.175672722
Iran,92,3,Expenditure,tobacco & unclassified beverage,1.169917283
Iran,92,4,Expenditure,tobacco & unclassified beverage,0.982575418
Iran,92,5,Expenditure,tobacco & unclassified beverage,0.91412645
Iran,92,6,Expenditure,tobacco & unclassified beverage,0.72509463
Iran,92,7,Expenditure,tobacco & unclassified beverage,0.662140475
Iran,92,8,Expenditure,tobacco & unclassified beverage,0.482063893
Iran,92,9,Expenditure,tobacco & unclassified beverage,0.431266649
Iran,92,10,Expenditure,tobacco & unclassified beverage,0.249281628
Iran,93,1,Expenditure,tobacco & unclassified beverage,1.178208898
Iran,93,2,Expenditure,tobacco & unclassified beverage,1.287761571
Iran,93,3,Expenditure,tobacco & unclassified beverage,1.118642152
Iran,93,4,Expenditure,tobacco & unclassified beverage,0.938235307
Iran,93,5,Expenditure,tobacco & unclassified beverage,0.768684173
Iran,93,6,Expenditure,tobacco & unclassified beverage,0.614463327
Iran,93,7,Expenditure,tobacco & unclassified beverage,0.639395756
Iran,93,8,Expenditure,tobacco & unclassified beverage,0.482775912
Iran,93,9,Expenditure,tobacco & unclassified beverage,0.361935246
Iran,93,10,Expenditure,tobacco & unclassified beverage,0.250439749
Iran,94,1,Expenditure,tobacco & unclassified beverage,1.058598062
Iran,94,2,Expenditure,tobacco & unclassified beverage,1.227004264
Iran,94,3,Expenditure,tobacco & unclassified beverage,1.125178651
Iran,94,4,Expenditure,tobacco & unclassified beverage,0.985295101
Iran,94,5,Expenditure,tobacco & unclassified beverage,0.855701663
Iran,94,6,Expenditure,tobacco & unclassified beverage,0.669779021
Iran,94,7,Expenditure,tobacco & unclassified beverage,0.56656846
Iran,94,8,Expenditure,tobacco & unclassified beverage,0.469739685
Iran,94,9,Expenditure,tobacco & unclassified beverage,0.39874293
Iran,94,10,Expenditure,tobacco & unclassified beverage,0.18359424
Iran,95,1,Expenditure,tobacco & unclassified beverage,1.017333715
Iran,95,2,Expenditure,tobacco & unclassified beverage,1.103619778
Iran,95,3,Expenditure,tobacco & unclassified beverage,1.111640716
Iran,95,4,Expenditure,tobacco & unclassified beverage,0.869276381
Iran,95,5,Expenditure,tobacco & unclassified beverage,0.865528688
Iran,95,6,Expenditure,tobacco & unclassified beverage,0.713882383
Iran,95,7,Expenditure,tobacco & unclassified beverage,0.592192701
Iran,95,8,Expenditure,tobacco & unclassified beverage,0.471699802
Iran,95,9,Expenditure,tobacco & unclassified beverage,0.364120091
Iran,95,10,Expenditure,tobacco & unclassified beverage,0.185599998
Iran,96,1,Expenditure,tobacco & unclassified beverage,1.042103923
Iran,96,2,Expenditure,tobacco & unclassified beverage,1.212442736
Iran,96,3,Expenditure,tobacco & unclassified beverage,1.121174105
Iran,96,4,Expenditure,tobacco & unclassified beverage,0.934583587
Iran,96,5,Expenditure,tobacco & unclassified beverage,0.900846814
Iran,96,6,Expenditure,tobacco & unclassified beverage,0.629058558
Iran,96,7,Expenditure,tobacco & unclassified beverage,0.670546115
Iran,96,8,Expenditure,tobacco & unclassified beverage,0.445447686
Iran,96,9,Expenditure,tobacco & unclassified beverage,0.341512789
Iran,96,10,Expenditure,tobacco & unclassified beverage,0.261257756
Iran,87,1,Expenditure,recreation & leisure,0.424918549
Iran,87,2,Expenditure,recreation & leisure,0.429303615
Iran,87,3,Expenditure,recreation & leisure,0.466478082
Iran,87,4,Expenditure,recreation & leisure,0.503472625
Iran,87,5,Expenditure,recreation & leisure,0.512321678
Iran,87,6,Expenditure,recreation & leisure,0.534823885
Iran,87,7,Expenditure,recreation & leisure,0.596173069
Iran,87,8,Expenditure,recreation & leisure,0.579854884
Iran,87,9,Expenditure,recreation & leisure,0.606830179
Iran,87,10,Expenditure,recreation & leisure,0.607621453
Iran,88,1,Expenditure,recreation & leisure,0.32722209
Iran,88,2,Expenditure,recreation & leisure,0.407568693
Iran,88,3,Expenditure,recreation & leisure,0.406727707
Iran,88,4,Expenditure,recreation & leisure,0.432233629
Iran,88,5,Expenditure,recreation & leisure,0.47695247
Iran,88,6,Expenditure,recreation & leisure,0.494480698
Iran,88,7,Expenditure,recreation & leisure,0.504697802
Iran,88,8,Expenditure,recreation & leisure,0.641713413
Iran,88,9,Expenditure,recreation & leisure,0.518328121
Iran,88,10,Expenditure,recreation & leisure,0.59607345
Iran,89,1,Expenditure,recreation & leisure,0.261501493
Iran,89,2,Expenditure,recreation & leisure,0.405171094
Iran,89,3,Expenditure,recreation & leisure,0.434421328
Iran,89,4,Expenditure,recreation & leisure,0.41125079
Iran,89,5,Expenditure,recreation & leisure,0.451709516
Iran,89,6,Expenditure,recreation & leisure,0.471055599
Iran,89,7,Expenditure,recreation & leisure,0.565768055
Iran,89,8,Expenditure,recreation & leisure,0.511532853
Iran,89,9,Expenditure,recreation & leisure,0.656277783
Iran,89,10,Expenditure,recreation & leisure,0.718210709
Iran,90,1,Expenditure,recreation & leisure,0.26856559
Iran,90,2,Expenditure,recreation & leisure,0.3133865
Iran,90,3,Expenditure,recreation & leisure,0.397697375
Iran,90,4,Expenditure,recreation & leisure,0.429939368
Iran,90,5,Expenditure,recreation & leisure,0.432469484
Iran,90,6,Expenditure,recreation & leisure,0.541345174
Iran,90,7,Expenditure,recreation & leisure,0.453668457
Iran,90,8,Expenditure,recreation & leisure,0.469066905
Iran,90,9,Expenditure,recreation & leisure,0.528677329
Iran,90,10,Expenditure,recreation & leisure,0.532772979
Iran,91,1,Expenditure,recreation & leisure,0.309250109
Iran,91,2,Expenditure,recreation & leisure,0.381444536
Iran,91,3,Expenditure,recreation & leisure,0.380734251
Iran,91,4,Expenditure,recreation & leisure,0.42385855
Iran,91,5,Expenditure,recreation & leisure,0.437117192
Iran,91,6,Expenditure,recreation & leisure,0.487051071
Iran,91,7,Expenditure,recreation & leisure,0.496360664
Iran,91,8,Expenditure,recreation & leisure,0.548551801
Iran,91,9,Expenditure,recreation & leisure,0.52230793
Iran,91,10,Expenditure,recreation & leisure,0.537602311
Iran,92,1,Expenditure,recreation & leisure,0.345882418
Iran,92,2,Expenditure,recreation & leisure,0.408944596
Iran,92,3,Expenditure,recreation & leisure,0.456798663
Iran,92,4,Expenditure,recreation & leisure,0.439044183
Iran,92,5,Expenditure,recreation & leisure,0.515968092
Iran,92,6,Expenditure,recreation & leisure,0.512480828
Iran,92,7,Expenditure,recreation & leisure,0.518664583
Iran,92,8,Expenditure,recreation & leisure,0.609938398
Iran,92,9,Expenditure,recreation & leisure,0.612276752
Iran,92,10,Expenditure,recreation & leisure,0.689861499
Iran,93,1,Expenditure,recreation & leisure,0.267277899
Iran,93,2,Expenditure,recreation & leisure,0.366804297
Iran,93,3,Expenditure,recreation & leisure,0.395925446
Iran,93,4,Expenditure,recreation & leisure,0.460764151
Iran,93,5,Expenditure,recreation & leisure,0.477657958
Iran,93,6,Expenditure,recreation & leisure,0.492615317
Iran,93,7,Expenditure,recreation & leisure,0.531410048
Iran,93,8,Expenditure,recreation & leisure,0.533946798
Iran,93,9,Expenditure,recreation & leisure,0.578319316
Iran,93,10,Expenditure,recreation & leisure,0.601881798
Iran,94,1,Expenditure,recreation & leisure,0.282028694
Iran,94,2,Expenditure,recreation & leisure,0.388707221
Iran,94,3,Expenditure,recreation & leisure,0.439196844
Iran,94,4,Expenditure,recreation & leisure,0.434148575
Iran,94,5,Expenditure,recreation & leisure,0.416849552
Iran,94,6,Expenditure,recreation & leisure,0.458743925
Iran,94,7,Expenditure,recreation & leisure,0.495334337
Iran,94,8,Expenditure,recreation & leisure,0.526168478
Iran,94,9,Expenditure,recreation & leisure,0.498977129
Iran,94,10,Expenditure,recreation & leisure,0.627618935
Iran,95,1,Expenditure,recreation & leisure,0.364415431
Iran,95,2,Expenditure,recreation & leisure,0.403879883
Iran,95,3,Expenditure,recreation & leisure,0.426712754
Iran,95,4,Expenditure,recreation & leisure,0.425631638
Iran,95,5,Expenditure,recreation & leisure,0.426721514
Iran,95,6,Expenditure,recreation & leisure,0.453213191
Iran,95,7,Expenditure,recreation & leisure,0.468397814
Iran,95,8,Expenditure,recreation & leisure,0.528436591
Iran,95,9,Expenditure,recreation & leisure,0.540134557
Iran,95,10,Expenditure,recreation & leisure,0.578025533
Iran,96,1,Expenditure,recreation & leisure,0.3911601
Iran,96,2,Expenditure,recreation & leisure,0.383200224
Iran,96,3,Expenditure,recreation & leisure,0.43393706
Iran,96,4,Expenditure,recreation & leisure,0.42617338
Iran,96,5,Expenditure,recreation & leisure,0.436582303
Iran,96,6,Expenditure,recreation & leisure,0.508037204
Iran,96,7,Expenditure,recreation & leisure,0.471432249
Iran,96,8,Expenditure,recreation & leisure,0.504687878
Iran,96,9,Expenditure,recreation & leisure,0.69667493
Iran,96,10,Expenditure,recreation & leisure,0.778906819
Iran,87,1,Expenditure,communication,2.443869766
Iran,87,2,Expenditure,communication,3.128215473
Iran,87,3,Expenditure,communication,3.432411939
Iran,87,4,Expenditure,communication,3.57773923
Iran,87,5,Expenditure,communication,3.63144924
Iran,87,6,Expenditure,communication,3.568544102
Iran,87,7,Expenditure,communication,3.718912579
Iran,87,8,Expenditure,communication,3.547773817
Iran,87,9,Expenditure,communication,3.29281921
Iran,87,10,Expenditure,communication,2.597743473
Iran,88,1,Expenditure,communication,2.42192917
Iran,88,2,Expenditure,communication,3.334352916
Iran,88,3,Expenditure,communication,3.227746246
Iran,88,4,Expenditure,communication,3.132225885
Iran,88,5,Expenditure,communication,3.212259013
Iran,88,6,Expenditure,communication,3.19284714
Iran,88,7,Expenditure,communication,3.256684755
Iran,88,8,Expenditure,communication,3.134796205
Iran,88,9,Expenditure,communication,2.90773889
Iran,88,10,Expenditure,communication,2.461373517
Iran,89,1,Expenditure,communication,2.554158292
Iran,89,2,Expenditure,communication,3.092944184
Iran,89,3,Expenditure,communication,3.244659461
Iran,89,4,Expenditure,communication,3.123853733
Iran,89,5,Expenditure,communication,2.965196775
Iran,89,6,Expenditure,communication,2.945127815
Iran,89,7,Expenditure,communication,2.980843111
Iran,89,8,Expenditure,communication,2.87042015
Iran,89,9,Expenditure,communication,2.660440906
Iran,89,10,Expenditure,communication,2.034395187
Iran,90,1,Expenditure,communication,2.628619296
Iran,90,2,Expenditure,communication,3.231782783
Iran,90,3,Expenditure,communication,3.223604926
Iran,90,4,Expenditure,communication,3.427634497
Iran,90,5,Expenditure,communication,3.345389499
Iran,90,6,Expenditure,communication,3.291216552
Iran,90,7,Expenditure,communication,3.321274542
Iran,90,8,Expenditure,communication,3.162227791
Iran,90,9,Expenditure,communication,2.930795079
Iran,90,10,Expenditure,communication,2.393618058
Iran,91,1,Expenditure,communication,2.646653288
Iran,91,2,Expenditure,communication,3.075067844
Iran,91,3,Expenditure,communication,3.054276517
Iran,91,4,Expenditure,communication,3.016874612
Iran,91,5,Expenditure,communication,3.084810507
Iran,91,6,Expenditure,communication,3.028390868
Iran,91,7,Expenditure,communication,2.859393741
Iran,91,8,Expenditure,communication,2.667745713
Iran,91,9,Expenditure,communication,2.655411032
Iran,91,10,Expenditure,communication,1.860611024
Iran,92,1,Expenditure,communication,2.58446494
Iran,92,2,Expenditure,communication,2.838955987
Iran,92,3,Expenditure,communication,2.869440283
Iran,92,4,Expenditure,communication,2.839055895
Iran,92,5,Expenditure,communication,2.761479507
Iran,92,6,Expenditure,communication,2.640299291
Iran,92,7,Expenditure,communication,2.549584324
Iran,92,8,Expenditure,communication,2.425535513
Iran,92,9,Expenditure,communication,2.271911666
Iran,92,10,Expenditure,communication,1.62743778
Iran,93,1,Expenditure,communication,2.787874842
Iran,93,2,Expenditure,communication,2.804946526
Iran,93,3,Expenditure,communication,2.69176704
Iran,93,4,Expenditure,communication,2.77665827
Iran,93,5,Expenditure,communication,2.692126933
Iran,93,6,Expenditure,communication,2.604126606
Iran,93,7,Expenditure,communication,2.517564025
Iran,93,8,Expenditure,communication,2.39796885
Iran,93,9,Expenditure,communication,2.241108106
Iran,93,10,Expenditure,communication,1.614446582
Iran,94,1,Expenditure,communication,2.629531812
Iran,94,2,Expenditure,communication,2.604705835
Iran,94,3,Expenditure,communication,2.579252928
Iran,94,4,Expenditure,communication,2.640429282
Iran,94,5,Expenditure,communication,2.6006965
Iran,94,6,Expenditure,communication,2.498968499
Iran,94,7,Expenditure,communication,2.368201262
Iran,94,8,Expenditure,communication,2.291146472
Iran,94,9,Expenditure,communication,2.105387045
Iran,94,10,Expenditure,communication,1.70983344
Iran,95,1,Expenditure,communication,2.590980251
Iran,95,2,Expenditure,communication,2.632770961
Iran,95,3,Expenditure,communication,2.571199007
Iran,95,4,Expenditure,communication,2.623232278
Iran,95,5,Expenditure,communication,2.526738183
Iran,95,6,Expenditure,communication,2.500841443
Iran,95,7,Expenditure,communication,2.436889364
Iran,95,8,Expenditure,communication,2.346517419
Iran,95,9,Expenditure,communication,2.150932271
Iran,95,10,Expenditure,communication,1.677884744
Iran,96,1,Expenditure,communication,2.338378568
Iran,96,2,Expenditure,communication,2.612823878
Iran,96,3,Expenditure,communication,2.645272948
Iran,96,4,Expenditure,communication,2.615164876
Iran,96,5,Expenditure,communication,2.528369455
Iran,96,6,Expenditure,communication,2.513472182
Iran,96,7,Expenditure,communication,2.438315328
Iran,96,8,Expenditure,communication,2.332132429
Iran,96,9,Expenditure,communication,2.036797554
Iran,96,10,Expenditure,communication,1.629270323
Iran,87,1,Expenditure,housing,30.29137686
Iran,87,2,Expenditure,housing,29.46219472
Iran,87,3,Expenditure,housing,29.66744857
Iran,87,4,Expenditure,housing,29.73744062
Iran,87,5,Expenditure,housing,30.44881724
Iran,87,6,Expenditure,housing,30.28829142
Iran,87,7,Expenditure,housing,30.84249314
Iran,87,8,Expenditure,housing,29.10184392
Iran,87,9,Expenditure,housing,30.56449198
Iran,87,10,Expenditure,housing,27.5323526
Iran,88,1,Expenditure,housing,32.98048522
Iran,88,2,Expenditure,housing,31.48928976
Iran,88,3,Expenditure,housing,30.49544923
Iran,88,4,Expenditure,housing,29.39896237
Iran,88,5,Expenditure,housing,28.08563989
Iran,88,6,Expenditure,housing,27.95359974
Iran,88,7,Expenditure,housing,27.1332182
Iran,88,8,Expenditure,housing,28.21701976
Iran,88,9,Expenditure,housing,26.33963342
Iran,88,10,Expenditure,housing,24.38572876
Iran,89,1,Expenditure,housing,32.03936899
Iran,89,2,Expenditure,housing,31.56211877
Iran,89,3,Expenditure,housing,30.33326759
Iran,89,4,Expenditure,housing,29.95634915
Iran,89,5,Expenditure,housing,29.65959844
Iran,89,6,Expenditure,housing,28.54852941
Iran,89,7,Expenditure,housing,28.48177513
Iran,89,8,Expenditure,housing,29.15333329
Iran,89,9,Expenditure,housing,28.12494944
Iran,89,10,Expenditure,housing,26.15434062
Iran,90,1,Expenditure,housing,30.57774752
Iran,90,2,Expenditure,housing,30.14480846
Iran,90,3,Expenditure,housing,30.80287297
Iran,90,4,Expenditure,housing,30.71754241
Iran,90,5,Expenditure,housing,30.42111341
Iran,90,6,Expenditure,housing,30.15221846
Iran,90,7,Expenditure,housing,29.72022187
Iran,90,8,Expenditure,housing,28.68470688
Iran,90,9,Expenditure,housing,28.85053112
Iran,90,10,Expenditure,housing,30.07473932
Iran,91,1,Expenditure,housing,29.20719933
