GEO,UOM,Time,Type,Category,Cross,value
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,OtherCombinations,0.037663896
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,VegetableOils,0.149316819
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,TeaCoffee,0.188191178
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,Spices,0.027388645
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,Milk,0.168713446
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,AnimalOilsFats,-0.049127692
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,SweetsJams,0.14090903
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,SeafoodMeat,0.16418915
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,PreparedVegetables,-0.035777656
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,CerealsBreadFlour,1.067720186
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,Meatdomesticanimals,-0.146420468
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,PoultryMeat,-0.078047001
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,DairyProducts,0.303287816
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,BirdEggs,-0.359348206
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,Fruit,-0.705827143
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,Vegetables,-0.146638727
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,NutsLegumes,-0.098958795
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,Sugar,0.072425417
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,OtherCombinations,0.14027861
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,VegetableOils,-0.288151064
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,TeaCoffee,0.192985755
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,Spices,0.14705872
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,Milk,-0.254221971
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,AnimalOilsFats,-0.138663413
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,SweetsJams,-0.046816018
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,SeafoodMeat,-0.232703009
Iran,Price Elasticity,1387-1396,Uncompensated,Bird eggs,PreparedVegetables,-0.026952607
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,CerealsBreadFlour,0.528638117
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,Meatdomesticanimals,-0.012353086
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,PoultryMeat,0.242079305
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,DairyProducts,-0.153788258
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,BirdEggs,-0.194848316
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,Fruit,-0.692106005
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,Vegetables,-0.129270823
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,NutsLegumes,-0.15855673
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,Sugar,-0.049599986
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,OtherCombinations,0.015916755
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,VegetableOils,-0.264295806
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,TeaCoffee,0.062190781
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,Spices,0.079425363
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,Milk,-0.217802653
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,AnimalOilsFats,-0.003227336
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,SweetsJams,-0.07076858
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,SeafoodMeat,-0.115587148
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,PreparedVegetables,0.025033867
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,CerealsBreadFlour,-0.593553476
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,Meatdomesticanimals,0.131352994
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,PoultryMeat,0.003053682
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,DairyProducts,-0.130471881
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,BirdEggs,-0.037398696
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,Fruit,-0.081462944
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,Vegetables,-0.172067703
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,NutsLegumes,-0.092183823
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,Sugar,-0.025106349
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,OtherCombinations,0.083823854
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,VegetableOils,0.025478708
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,TeaCoffee,0.250025196
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,Spices,0.035830777
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,Milk,-0.203088223
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,AnimalOilsFats,0.030361564
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,SweetsJams,0.096775741
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,SeafoodMeat,-0.087107883
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetables,PreparedVegetables,0.003429961
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,CerealsBreadFlour,1.601089417
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,Meatdomesticanimals,-0.219234537
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,PoultryMeat,0.044902073
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,DairyProducts,-0.168526645
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,BirdEggs,-0.10633138
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,Fruit,-0.590860784
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,Vegetables,-0.419657111
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,NutsLegumes,-0.489211859
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,Sugar,-0.194817066
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,OtherCombinations,-0.511237249
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,VegetableOils,-0.273560355
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,TeaCoffee,0.376613659
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,Spices,0.069306356
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,Milk,-0.127507796
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,AnimalOilsFats,-0.074316355
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,SweetsJams,0.102962495
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,SeafoodMeat,-0.020665705
Iran,Price Elasticity,1387-1396,Uncompensated,Nuts and legumes,PreparedVegetables,0.043515964
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,CerealsBreadFlour,0.463127439
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,Meatdomesticanimals,-0.516521204
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,PoultryMeat,0.239598694
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,DairyProducts,-0.043232722
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,BirdEggs,0.068063715
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,Fruit,-0.160354601
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,Vegetables,-0.111406927
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,NutsLegumes,-0.192788388
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,Sugar,-0.125273438
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,OtherCombinations,-0.106036545
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,VegetableOils,-0.142311668
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,TeaCoffee,0.120236627
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,Spices,0.105992226
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,Milk,-0.054290382
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,AnimalOilsFats,-0.01912916
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,SweetsJams,-0.086228453
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,SeafoodMeat,-0.211777421
Iran,Price Elasticity,1387-1396,Uncompensated,Sugar,PreparedVegetables,-0.00320078
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,CerealsBreadFlour,-1.373158766
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,Meatdomesticanimals,0.62308088
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,PoultryMeat,0.048660665
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,DairyProducts,0.079132473
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,BirdEggs,0.1257687
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,Fruit,0.074492679
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,Vegetables,0.332288392
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,NutsLegumes,-0.495038051
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,Sugar,-0.105533854
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,OtherCombinations,-0.41757422
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,VegetableOils,-0.529364275
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,TeaCoffee,0.421353713
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,Spices,0.17190378
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,Milk,-0.032655393
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,AnimalOilsFats,-0.122812468
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,SweetsJams,0.168161175
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,SeafoodMeat,0.00371698
Iran,Price Elasticity,1387-1396,Uncompensated,Condiments and other food combinations,PreparedVegetables,0.085128106
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,CerealsBreadFlour,1.3592143
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,Meatdomesticanimals,0.058795698
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,PoultryMeat,-0.250779615
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,DairyProducts,0.208207672
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,BirdEggs,-0.154093364
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,Fruit,-0.498512968
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,Vegetables,0.081908725
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,NutsLegumes,-0.139411968
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,Sugar,-0.071387775
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,OtherCombinations,-0.288266374
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,VegetableOils,-0.163124945
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,TeaCoffee,-0.185423852
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,Spices,-0.05544007
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,Milk,0.082868096
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,AnimalOilsFats,-0.309333438
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,SweetsJams,-0.229760724
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,SeafoodMeat,-0.002094201
Iran,Price Elasticity,1387-1396,Uncompensated,Vegetable oils,PreparedVegetables,-0.001273182
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",CerealsBreadFlour,-1.794526928
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",Meatdomesticanimals,-0.585007583
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",PoultryMeat,-0.111990016
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",DairyProducts,0.398381559
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",BirdEggs,0.164806131
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",Fruit,0.228392096
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",Vegetables,0.96618335
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",NutsLegumes,0.34400238
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",Sugar,0.103489121
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",OtherCombinations,0.396881617
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",VegetableOils,-0.330702481
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",TeaCoffee,-1.106207837
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",Spices,0.093313864
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",Milk,0.315868976
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",AnimalOilsFats,0.110430633
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",SweetsJams,-0.016696852
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",SeafoodMeat,-0.20343882
Iran,Price Elasticity,1387-1396,Uncompensated,"Tea, coffee, and cocoa",PreparedVegetables,0.036088343
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,CerealsBreadFlour,-1.503258867
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,Meatdomesticanimals,-3.296089726
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,PoultryMeat,-0.151156746
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,DairyProducts,0.316556634
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,BirdEggs,0.716927854
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,Fruit,1.530189137
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,Vegetables,0.754629709
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,NutsLegumes,0.34664044
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,Sugar,0.519122535
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,OtherCombinations,0.886880958
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,VegetableOils,-0.526292407
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,TeaCoffee,0.510643315
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,Spices,-1.039502065
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,Milk,0.775251681
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,AnimalOilsFats,0.216923637
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,SweetsJams,-0.075822074
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,SeafoodMeat,-0.981080545
Iran,Price Elasticity,1387-1396,Uncompensated,Spices,PreparedVegetables,0.041737463
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,CerealsBreadFlour,1.895085376
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,Meatdomesticanimals,-0.814267667
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,PoultryMeat,0.162427073
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,DairyProducts,0.267826226
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,BirdEggs,-0.175303397
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,Fruit,-0.536468194
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,Vegetables,-0.602224197
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,NutsLegumes,-0.083391658
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,Sugar,-0.038000814
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,OtherCombinations,-0.020408486
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,VegetableOils,0.089249373
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,TeaCoffee,0.236486402
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,Spices,0.10508642
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,Milk,-1.014421162
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,AnimalOilsFats,-0.089386411
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,SweetsJams,-0.135197208
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,SeafoodMeat,-0.117299705
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,PreparedVegetables,0.01928816
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,CerealsBreadFlour,1.132107448
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,Meatdomesticanimals,-0.591834415
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,PoultryMeat,0.548910046
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,DairyProducts,-0.330937846
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,BirdEggs,-0.373280909
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,Fruit,-0.048139885
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,Vegetables,0.287539672
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,NutsLegumes,-0.20173586
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,Sugar,-0.061515943
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,OtherCombinations,-0.339080048
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,VegetableOils,-1.511233153
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,TeaCoffee,0.306789971
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,Spices,0.111524699
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,Milk,-0.361200137
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,AnimalOilsFats,-0.319718272
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,SweetsJams,0.816121297
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,SeafoodMeat,-0.278970485
Iran,Price Elasticity,1387-1396,Uncompensated,Animal oils and fats,PreparedVegetables,-0.064869715
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,CerealsBreadFlour,-1.246355209
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,Meatdomesticanimals,-0.153832533
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,PoultryMeat,-0.058190301
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,DairyProducts,0.378607167
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,BirdEggs,-0.08553849
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,Fruit,-0.400357179
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,Vegetables,0.439956599
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,NutsLegumes,0.11442688
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,Sugar,-0.131313468
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,OtherCombinations,0.204086464
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,VegetableOils,-0.591327446
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,TeaCoffee,-0.041933881
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,Spices,-0.02301669
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,Milk,-0.28755859
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,AnimalOilsFats,0.398021103
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,SweetsJams,0.297014131
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,SeafoodMeat,-0.481285191
Iran,Price Elasticity,1387-1396,Uncompensated,Sweets and jams,PreparedVegetables,-0.011188597
Iran,Price Elasticity,1387-1396,Uncompensated,Seafood meat,CerealsBreadFlour,1.56370288
Iran,Price Elasticity,1387-1396,Uncompensated,Seafood meat,Meatdomesticanimals,0.204200736
Iran,Price Elasticity,1387-1396,Uncompensated,Seafood meat,PoultryMeat,-0.066463761
Iran,Price Elasticity,1387-1396,Uncompensated,Seafood meat,DairyProducts,0.311745136
Iran,Price Elasticity,1387-1396,Uncompensated,Seafood meat,BirdEggs,-0.229984714
Iran,Price Elasticity,1387-1396,Uncompensated,Seafood meat,Fruit,-0.437193976
Iran,Price Elasticity,1387-1396,Uncompensated,Seafood meat,Vegetables,-0.421071779
Iran,Price Elasticity,1387-1396,Uncompensated,Seafood meat,NutsLegumes,-0.032369537
Iran,Price Elasticity,1387-1396,Uncompensated,Seafood meat,Sugar,-0.207230038
Iran,Price Elasticity,1387-1396,Uncompensated,Seafood meat,OtherCombinations,-0.011011317
Iran,Price Elasticity,1387-1396,Uncompensated,Seafood meat,VegetableOils,-0.046544174
Iran,Price Elasticity,1387-1396,Uncompensated,Seafood meat,TeaCoffee,-0.215156717
Iran,Price Elasticity,1387-1396,Uncompensated,Seafood meat,Spices,-0.18028157
Iran,Price Elasticity,1387-1396,Uncompensated,Seafood meat,Milk,-0.181537435
