Year,GEO,UOM,variable,value
91,Iran,Gini coeff. of household expenditure per month per capita,Yogurt,0.415640991
90,Iran,Gini coeff. of household expenditure per month per capita,Sugar,0.456387454
90,Iran,Gini coeff. of household expenditure per month per capita,Fruit,0.428655324
90,Iran,Gini coeff. of household expenditure per month per capita,Bread,0.293596465
90,Iran,Gini coeff. of household expenditure per month per capita,Milk,0.47588064
90,Iran,Gini coeff. of household expenditure per month per capita,Meat,0.467097519
90,Iran,Gini coeff. of household expenditure per month per capita,Rice,0.458342546
90,Iran,Gini coeff. of household expenditure per month per capita,Chicken,0.376638533
90,Iran,Gini coeff. of household expenditure per month per capita,Fish,0.493679903
90,Iran,Gini coeff. of household expenditure per month per capita,Yogurt,0.382155506
89,Iran,Gini coeff. of household expenditure per month per capita,Meat,0.495451654
89,Iran,Gini coeff. of household expenditure per month per capita,Sugar,0.476118107
89,Iran,Gini coeff. of household expenditure per month per capita,Fruit,0.44873395
89,Iran,Gini coeff. of household expenditure per month per capita,Chicken,0.376447364
89,Iran,Gini coeff. of household expenditure per month per capita,Bread,0.377675058
89,Iran,Gini coeff. of household expenditure per month per capita,Milk,0.462941185
89,Iran,Gini coeff. of household expenditure per month per capita,Fish,0.511367611
89,Iran,Gini coeff. of household expenditure per month per capita,Rice,0.483670854
89,Iran,Gini coeff. of household expenditure per month per capita,Yogurt,0.39338973
88,Iran,Gini coeff. of household expenditure per month per capita,Meat,0.461073831
88,Iran,Gini coeff. of household expenditure per month per capita,Rice,0.496916846
88,Iran,Gini coeff. of household expenditure per month per capita,Sugar,0.525419969
88,Iran,Gini coeff. of household expenditure per month per capita,Fish,0.508367365
88,Iran,Gini coeff. of household expenditure per month per capita,Fruit,0.451430039
88,Iran,Gini coeff. of household expenditure per month per capita,Bread,0.304836329
88,Iran,Gini coeff. of household expenditure per month per capita,Milk,0.491008926
88,Iran,Gini coeff. of household expenditure per month per capita,Yogurt,0.398525915
88,Iran,Gini coeff. of household expenditure per month per capita,Chicken,0.379235858
87,Iran,Gini coeff. of household expenditure per month per capita,Sugar,0.504802811
87,Iran,Gini coeff. of household expenditure per month per capita,Chicken,0.390107135
87,Iran,Gini coeff. of household expenditure per month per capita,Bread,0.31578275
87,Iran,Gini coeff. of household expenditure per month per capita,Milk,0.49754579
87,Iran,Gini coeff. of household expenditure per month per capita,Meat,0.465759319
87,Iran,Gini coeff. of household expenditure per month per capita,Rice,0.527521864
87,Iran,Gini coeff. of household expenditure per month per capita,Fish,0.502527756
87,Iran,Gini coeff. of household expenditure per month per capita,Yogurt,0.407802164
87,Iran,Gini coeff. of household expenditure per month per capita,Fruit,0.449430857
