"","ProvinceCode","HHID","indiv.no","relationship","sex","age","nationality","residence.state","student","literate","edu.code","marrital.state","curr.job.year","curr.job.month","job.year","job.month","second.job.code","second.job.status","prev.job.code","prev.job.status","leaving.reason","not.ready.working","week.status","preference.type","preference.sec","weight","IW15_Yearly","activity.state","quarter","ProvinceName","Region","job.field","second.job.position","second.job.field","prev.job.position","prev.job.field","Year","ID"
"16",30,"9430101238",5,"Child","Female",15,"Iran","In-Iran",TRUE,TRUE,"Middle","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In education",NA,NA,144.8045,NA,"Inactive",3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012385"
"17",30,"9430101238",6,"Child","Female",10,"Iran","In-Iran",TRUE,TRUE,"Primary","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In education",NA,NA,144.8045,NA,"Inactive",3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012386"
"18",30,"9430101239",1,"Head","Male",33,"Iran","In-Iran",FALSE,TRUE,"Primary","Married",3,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.45425,NA,"Employed",3,"Alborz","Urban","Market-oriented Skilled Agricultural",NA,NA,NA,NA,1394,"139494301012391"
"19",30,"9430101239",2,"Spouse","Female",32,"Iran","In-Iran",FALSE,TRUE,"Pre","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,144.8045,NA,"Inactive",3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012392"
"20",30,"9430101239",3,"Child","Male",5,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.30325,NA,NA,3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012393"
"21",30,"9430101246",1,"Head","Male",28,"Iran","In-Iran",FALSE,TRUE,"Primary","Married",6,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.45425,NA,"Employed",2,"Alborz","Urban","Electrical and Electronics Trades",NA,NA,NA,NA,1394,"139494301012461"
"22",30,"9430101246",2,"Spouse","Female",22,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,144.8045,NA,"Inactive",2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012462"
"23",30,"9430101246",3,"Child","Male",0,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.30325,NA,NA,2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012463"
"24",30,"9430101247",1,"Head","Male",51,"Afghan","In-Iran",FALSE,TRUE,"Primary","Married",10,0,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.45425,NA,"Employed",2,"Alborz","Urban","Agricultural, Forestry and Fishery Labourers",NA,NA,NA,NA,1394,"139494301012471"
"25",30,"9430101247",2,"Spouse","Female",38,"Afghan","In-Iran",FALSE,FALSE,NA,"Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,144.8045,NA,"Inactive",2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012472"
"26",30,"9430101247",3,"Child","Male",18,"Afghan","In-Iran",FALSE,TRUE,"Primary","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Others",NA,NA,150.45425,NA,"Inactive",2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012473"
"27",30,"9430101247",4,"Child","Male",16,"Afghan","In-Iran",FALSE,TRUE,"Primary","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Others",NA,NA,150.45425,NA,"Inactive",2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012474"
"28",30,"9430101247",5,"Child","Male",13,"Afghan","In-Iran",TRUE,TRUE,"Middle","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In education",NA,NA,150.45425,NA,"Inactive",2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012475"
"29",30,"9430101247",6,"Child","Male",9,"Afghan","In-Iran",TRUE,TRUE,"Primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.30325,NA,NA,2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012476"
"30",30,"9430101248",1,"Head","Male",70,"Iran","In-Iran",FALSE,FALSE,NA,"Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Retired",NA,NA,109.1675,NA,"Inactive",2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012481"
"31",30,"9430101248",2,"Spouse","Female",60,"Iran","In-Iran",FALSE,FALSE,NA,"Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,144.8045,NA,"Inactive",2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012482"
"32",30,"9430101249",1,"Head","Female",83,"Iran","In-Iran",FALSE,FALSE,NA,"Widowed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not retired",NA,NA,122.34275,NA,"Inactive",1,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012491"
"33",30,"9430101250",1,"Head","Male",47,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",10,0,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.45425,NA,"Employed",1,"Alborz","Urban","Market-oriented Skilled Agricultural",NA,NA,NA,NA,1394,"139494301012501"
"34",30,"9430101250",2,"Spouse","Female",38,"Iran","In-Iran",FALSE,TRUE,"Pre","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,144.8045,NA,"Inactive",1,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012502"
"35",30,"9430101250",3,"Child","Male",12,"Iran","In-Iran",TRUE,TRUE,"Primary","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In education",NA,NA,150.45425,NA,"Inactive",1,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012503"
"36",30,"9430101251",1,"Head","Male",66,"Iran","In-Iran",FALSE,FALSE,NA,"Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Retired",NA,NA,109.1675,NA,"Inactive",1,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012511"
"37",30,"9430101251",2,"Spouse","Female",60,"Iran","In-Iran",FALSE,FALSE,NA,"Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,144.8045,NA,"Inactive",1,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012512"
"38",30,"9430101334",1,"Head","Female",39,"Iran","In-Iran",FALSE,TRUE,"Middle","Divorced",6,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.76475,NA,"Employed",4,"Alborz","Urban","Cleaners and Helpers",NA,NA,NA,NA,1394,"139494301013341"
"39",30,"9430101334",2,"Child","Female",15,"Iran","In-Iran",TRUE,TRUE,"High","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In education",NA,NA,173.76475,NA,"Inactive",4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013342"
"40",30,"9430101335",1,"Head","Male",33,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",4,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.5445,NA,"Employed",4,"Alborz","Urban","Market-oriented Skilled Agricultural",NA,NA,NA,NA,1394,"139494301013351"
"41",30,"9430101335",2,"Spouse","Female",27,"Iran","In-Iran",FALSE,TRUE,"Pre","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,173.76475,NA,"Inactive",4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013352"
"42",30,"9430101335",3,"Child","Female",7,"Iran","In-Iran",TRUE,TRUE,"Primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.599,NA,NA,4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013353"
"43",30,"9430101335",4,"Child","Male",7,"Iran","In-Iran",TRUE,TRUE,"Primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.16325,NA,NA,4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013354"
"44",30,"9430101336",1,"Head","Male",30,"Iran","In-Iran",FALSE,TRUE,"Pre","Married",10,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.5445,NA,"Employed",4,"Alborz","Urban","Sales",NA,NA,NA,NA,1394,"139494301013361"
"45",30,"9430101336",2,"Spouse","Female",29,"Iran","In-Iran",FALSE,TRUE,"College","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,173.76475,NA,"Inactive",4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013362"
"46",30,"9430101336",3,"Child","Female",1,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.599,NA,NA,4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013363"
"47",30,"9430101339",1,"Head","Male",36,"Iran","In-Iran",FALSE,TRUE,"Pre","Married",2,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.5445,NA,"Employed",3,"Alborz","Urban","Vehicle Drivers",NA,NA,NA,NA,1394,"139494301013391"
"48",30,"9430101339",2,"Spouse","Female",32,"Iran","In-Iran",FALSE,TRUE,"Pre","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,173.76475,NA,"Inactive",3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013392"
"49",30,"9430101339",3,"Child","Male",5,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.16325,NA,NA,3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013393"
"50",30,"9430101339",4,"Child","Female",5,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.599,NA,NA,3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013394"
"51",30,"9430101346",1,"Head","Male",44,"Iran","In-Iran",FALSE,TRUE,"Primary","Married",24,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.5445,NA,"Employed",2,"Alborz","Urban","Electrical and Electronics Trades",NA,NA,NA,NA,1394,"139494301013461"
"52",30,"9430101346",2,"Spouse","Female",38,"Iran","In-Iran",FALSE,TRUE,"Pre","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,173.76475,NA,"Inactive",2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013462"
"53",30,"9430101346",3,"Child","Male",14,"Iran","In-Iran",TRUE,TRUE,"Middle","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In education",NA,NA,180.5445,NA,"Inactive",2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013463"
"54",30,"9430101346",4,"Child","Female",5,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.599,NA,NA,2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013464"
"55",30,"9430101347",1,"Head","Male",28,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",3,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.5445,NA,"Employed",2,"Alborz","Urban","Vehicle Drivers",NA,NA,NA,NA,1394,"139494301013471"
"56",30,"9430101347",2,"Spouse","Female",25,"Iran","In-Iran",FALSE,TRUE,"Pre","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,173.76475,NA,"Inactive",2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013472"
"57",30,"9430101347",3,"Child","Female",2,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.599,NA,NA,2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013473"
"58",30,"9430101348",1,"Head","Male",47,"Iran","In-Iran",TRUE,TRUE,"Bachelors","Married",25,0,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.5445,NA,"Employed",2,"Alborz","Urban","Chief Executives",NA,NA,NA,NA,1394,"139494301013481"
"59",30,"9430101348",2,"Spouse","Female",42,"Iran","In-Iran",FALSE,TRUE,"Pre","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,173.76475,NA,"Inactive",2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013482"
"60",30,"9430101348",3,"Child","Male",21,"Iran","In-Iran",TRUE,TRUE,"Bachelors","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In education",NA,NA,180.5445,NA,"Inactive",2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013483"
"61",30,"9430101348",4,"Child","Female",14,"Iran","In-Iran",TRUE,TRUE,"Middle","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In education",NA,NA,173.76475,NA,"Inactive",2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013484"
"62",30,"9430101349",1,"Head","Male",30,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",2,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.5445,NA,"Employed",1,"Alborz","Urban","Vehicle Drivers",NA,NA,NA,NA,1394,"139494301013491"
"63",30,"9430101349",2,"Spouse","Female",20,"Iran","In-Iran",FALSE,TRUE,"Pre","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,173.76475,NA,"Inactive",1,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013492"
"64",30,"9430101350",1,"Head","Male",33,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",0,7,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.5445,NA,"Employed",1,"Alborz","Urban","Vehicle Drivers",NA,NA,NA,NA,1394,"139494301013501"
"65",30,"9430101350",2,"Spouse","Female",25,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,173.76475,NA,"Inactive",1,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013502"
"66",30,"9430101350",3,"Child","Female",5,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.599,NA,NA,1,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013503"
"67",30,"9430101351",1,"Head","Male",68,"Iran","In-Iran",FALSE,TRUE,"Primary","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not retired",NA,NA,131.00075,NA,"Inactive",1,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013511"
"68",30,"9430101351",2,"Spouse","Female",56,"Iran","In-Iran",FALSE,TRUE,"Primary","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,173.76475,NA,"Inactive",1,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013512"
"69",30,"9430101351",3,"Child","Female",28,"Iran","In-Iran",FALSE,TRUE,"Pre","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wage","Service",173.76475,NA,"Unemployed",1,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013513"
"70",30,"9430101351",4,"Child","Female",25,"Iran","In-Iran",FALSE,TRUE,"Pre","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Others",NA,NA,173.76475,NA,"Inactive",1,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301013514"
"71",30,"9430101434",1,"Head","Male",48,"Iran","In-Iran",FALSE,TRUE,"Pre","Married",17,0,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.45425,NA,"Employed",4,"Alborz","Urban","Electrical and Electronics Trades",NA,NA,NA,NA,1394,"139494301014341"
"72",30,"9430101434",2,"Spouse","Female",36,"Iran","In-Iran",FALSE,TRUE,"Primary","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,144.8045,NA,"Inactive",4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301014342"
"73",30,"9430101434",3,"Child","Male",13,"Iran","In-Iran",TRUE,TRUE,"Middle","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In education",NA,NA,150.45425,NA,"Inactive",4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301014343"
"74",30,"9430101434",4,"Child","Male",20,"Iran","In-Iran",FALSE,TRUE,"Pre","Bachelor",0,11,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.45425,NA,"Employed",4,"Alborz","Urban","Chief Executives",NA,NA,NA,NA,1394,"139494301014344"
"75",30,"9430101435",1,"Head","Male",27,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",5,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.45425,NA,"Employed",4,"Alborz","Urban","Agricultural, Forestry and Fishery Labourers",NA,NA,NA,NA,1394,"139494301014351"
"76",30,"9430101435",2,"Spouse","Female",28,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,144.8045,NA,"Inactive",4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301014352"
"77",30,"9430101435",3,"Child","Female",7,"Iran","In-Iran",TRUE,TRUE,"Primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.333,NA,NA,4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301014353"
"78",30,"9430101435",4,"Child","Female",4,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.333,NA,NA,4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301014354"
"79",30,"9430101436",1,"Head","Male",63,"Iran","In-Iran",FALSE,FALSE,NA,"Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Retired",NA,NA,150.45425,NA,"Inactive",4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301014361"
"80",30,"9430101436",2,"Spouse","Female",58,"Iran","In-Iran",FALSE,FALSE,NA,"Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,144.8045,NA,"Inactive",4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301014362"
"81",30,"9430101436",3,"Child","Male",23,"Iran","In-Iran",FALSE,TRUE,"Primary","Bachelor",5,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.45425,NA,"Employed",4,"Alborz","Urban","Agricultural, Forestry and Fishery Labourers",NA,NA,NA,NA,1394,"139494301014363"
"82",30,"9430101437",1,"Head","Male",30,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",3,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.45425,NA,"Employed",3,"Alborz","Urban","Electrical and Electronics Trades",NA,NA,NA,NA,1394,"139494301014371"
"83",30,"9430101437",2,"Spouse","Female",29,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,144.8045,NA,"Inactive",3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301014372"
"84",30,"9430101437",3,"Child","Female",4,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.333,NA,NA,3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301014373"
"85",30,"9430101438",1,"Head","Male",24,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",6,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.45425,NA,"Employed",3,"Alborz","Urban","Building and Related Trade (excluding electricians)",NA,NA,NA,NA,1394,"139494301014381"
"86",30,"9430101438",2,"Spouse","Female",24,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,144.8045,NA,"Inactive",3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301014382"
"87",30,"9430101439",1,"Head","Male",31,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",10,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.45425,NA,"Employed",3,"Alborz","Urban","Building and Related Trade (excluding electricians)",NA,NA,NA,NA,1394,"139494301014391"
"88",30,"9430101439",2,"Spouse","Female",29,"Iran","In-Iran",FALSE,TRUE,"Primary","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,144.8045,NA,"Inactive",3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301014392"
"89",30,"9430101439",3,"Child","Male",7,"Iran","In-Iran",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.30325,NA,NA,3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301014393"
"90",30,"9430101439",4,"Child","Female",0,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.333,NA,NA,3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301014394"
"91",30,"9430101446",1,"Head","Male",32,"Iran","In-Iran",FALSE,TRUE,"Pre","Married",5,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.45425,NA,"Employed",2,"Alborz","Urban","Building and Related Trade (excluding electricians)",NA,NA,NA,NA,1394,"139494301014461"
"92",30,"9430101446",2,"Spouse","Female",23,"Iran","In-Iran",FALSE,TRUE,"Primary","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,144.8045,NA,"Inactive",2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301014462"
"93",30,"9430101446",3,"Child","Male",4,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.30325,NA,NA,2,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301014463"
"94",30,"9430101447",1,"Head","Male",34,"Iran","In-Iran",FALSE,TRUE,"Primary","Married",2,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.45425,NA,"Employed",2,"Alborz","Urban","Building and Related Trade (excluding electricians)",NA,NA,NA,NA,1394,"139494301014471"
